City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,Cape Town,-33.9258,18.4232,66.99,63,20,11.5,ZA,2021-03-04 19:49:11
139,Thompson,55.7435,-97.8558,24.8,58,20,2.3,CA,2021-03-04 19:50:01
140,Saskylakh,71.9167,114.0833,-33.48,81,88,6.08,RU,2021-03-04 19:52:10
141,Torbay,47.6666,-52.7314,35.01,69,75,18.41,CA,2021-03-04 19:52:10
142,Souillac,-20.5167,57.5167,75.2,88,20,6.91,MU,2021-03-04 19:52:11
143,Alvdal,62.1077,10.6307,24.8,80,75,16.11,NO,2021-03-04 19:52:11
144,Srivardhan,18.0333,73.0167,78.26,41,0,4.16,IN,2021-03-04 19:52:11
145,Farmington,36.7281,-108.2187,45.0,70,75,10.36,US,2021-03-04 19:52:11
146,Yulara,-25.2406,130.9889,82.4,24,58,10.36,AU,2021-03-04 19:52:11
147,Grand Gaube,-20.0064,57.6608,77.0,82,64,1.01,MU,2021-03-04 19:52:12
148,Sao Filipe,14.8961,-24.4956,71.67,73,100,13.78,CV,2021-03-04 19:52:12
149,Bara,10.3744,10.7288,84.65,14,0,11.79,NG,2021-03-04 19:52:12
150,Poronaysk,49.2167,143.1167,33.28,93,97,10.85,RU,2021-03-04 19:48:06
151,Rocha,-34.4833,-54.3333,75.36,81,100,9.35,UY,2021-03-04 19:49:26
152,Comodoro Rivadavia,-45.8667,-67.5,59.0,94,90,6.91,AR,2021-03-04 19:49:08
153,Arraial Do Cabo,-22.9661,-42.0278,87.8,58,0,13.8,BR,2021-03-04 19:52:12
154,Glenwood Springs,39.5505,-107.3248,44.01,93,90,9.22,US,2021-03-04 19:52:13
155,Sawakin,19.1059,37.3321,71.47,75,32,17.87,SD,2021-03-04 19:52:13
156,Katobu,-4.9408,122.5276,74.97,92,69,1.41,ID,2021-03-04 19:52:13
157,Cayenne,4.9333,-52.3333,84.2,70,75,12.66,GF,2021-03-04 19:52:14
158,Progreso,21.2833,-89.6667,81.0,69,75,9.22,MX,2021-03-04 19:52:14
159,Hibbing,47.4272,-92.9377,37.4,51,1,10.36,US,2021-03-04 19:47:22
160,Yambio,4.5721,28.3955,77.58,26,24,3.11,SS,2021-03-04 19:52:14
161,Luena,-11.7833,19.9167,63.0,95,92,3.04,AO,2021-03-04 19:52:15
162,Naze,28.3667,129.4833,62.26,88,56,15.03,JP,2021-03-04 19:49:57
163,Ugoofaaru,5.6667,73.0,81.61,78,3,15.77,MV,2021-03-04 19:52:15
164,Ippy,6.2679,21.2247,81.14,19,0,3.69,CF,2021-03-04 19:52:16
165,Krasnoselkup,65.7,82.4667,9.05,95,97,11.65,RU,2021-03-04 19:52:16
166,Nome,64.5011,-165.4064,1.4,78,90,42.57,US,2021-03-04 19:52:16
167,Bonavista,48.6499,-53.1147,35.01,80,99,12.66,CA,2021-03-04 19:52:16
168,Vestmannaeyjar,63.4427,-20.2734,40.03,73,26,4.79,IS,2021-03-04 19:52:16
169,Mahajanga,-15.7167,46.3167,82.4,78,40,9.22,MG,2021-03-04 19:52:16
170,Padang,-0.9492,100.3543,78.8,89,75,4.61,ID,2021-03-04 19:50:15
171,Jaciara,-15.9653,-54.9683,77.41,81,100,4.25,BR,2021-03-04 19:52:17
172,Vao,-22.6667,167.4833,77.11,77,99,16.58,NC,2021-03-04 19:52:17
173,Ilulissat,69.2167,-51.1,26.6,68,40,9.22,GL,2021-03-04 19:52:17
174,Boa Vista,2.8197,-60.6733,89.6,48,75,9.22,BR,2021-03-04 19:52:17
175,Narsaq,60.9167,-46.05,50.0,32,75,39.12,GL,2021-03-04 19:52:18
176,Oranjemund,-28.55,16.4333,63.82,81,0,15.88,NA,2021-03-04 19:52:18
177,Santa Fe,-31.6333,-60.7,84.99,56,93,7.0,AR,2021-03-04 19:49:56
178,Qui Nhon,13.7667,109.2333,73.15,91,35,4.5,VN,2021-03-04 19:52:18
179,Dryden,49.7833,-92.7503,33.8,44,90,5.75,CA,2021-03-04 19:52:18
180,Kodiak,57.79,-152.4072,30.2,59,1,11.5,US,2021-03-04 19:52:19
181,Lake City,30.1897,-82.6393,73.99,26,1,6.91,US,2021-03-04 19:49:13
182,Port Lincoln,-34.7333,135.8667,61.14,83,82,14.67,AU,2021-03-04 19:52:19
183,Adrar,20.5022,-10.0711,76.08,16,100,10.09,MR,2021-03-04 19:52:19
184,Vershino-Darasunskiy,52.35,115.5167,-23.71,86,0,3.15,RU,2021-03-04 19:52:19
185,Dongsheng,39.8161,109.9776,34.54,71,0,14.27,CN,2021-03-04 19:52:20
186,Cabo San Lucas,22.8909,-109.9124,81.0,36,75,9.22,MX,2021-03-04 19:48:30
187,Mahebourg,-20.4081,57.7,75.2,88,20,6.91,MU,2021-03-04 19:52:20
188,Severo-Kurilsk,50.6789,156.125,30.83,97,86,25.77,RU,2021-03-04 19:52:20
189,Cap Malheureux,-19.9842,57.6142,77.0,82,54,1.01,MU,2021-03-04 19:52:21
190,Lac Du Bonnet,50.2536,-96.0612,37.65,88,25,1.83,CA,2021-03-04 19:52:21
191,Mehamn,71.0357,27.8492,26.6,74,75,8.05,NO,2021-03-04 19:52:22
192,Altagracia De Orituco,9.8601,-66.3814,87.19,46,36,7.92,VE,2021-03-04 19:52:22
193,Flinders,-34.5833,150.8552,64.99,79,3,1.01,AU,2021-03-04 19:52:22
194,The Pas,53.8251,-101.2541,30.2,69,1,9.22,CA,2021-03-04 19:52:22
195,Saldanha,-33.0117,17.9442,64.4,68,0,9.22,ZA,2021-03-04 19:50:03
196,Bood,9.7451,123.8278,77.0,88,20,5.75,PH,2021-03-04 19:52:23
197,Toccoa,34.5773,-83.3324,73.0,18,1,3.44,US,2021-03-04 19:52:23
198,Buckeye,33.3703,-112.5838,70.0,36,0,3.0,US,2021-03-04 19:52:23
199,Sulangan,11.1373,123.7228,80.22,81,31,13.04,PH,2021-03-04 19:52:24
